time,ph
2022-09-23,8.2400675
2022-09-24,8.244818
2022-09-25,8.248395
2022-09-26,8.250017
2022-09-27,8.25002
2022-09-28,8.2500725
2022-09-29,8.247907
2022-09-30,8.24575
2022-10-01,8.24352
2022-10-02,8.248438
2022-10-03,8.25115
2022-10-04,8.25378
2022-10-05,8.256666
2022-10-06,8.259351
2022-10-07,8.261572
2022-10-08,8.262733
2022-10-09,8.263697
2022-10-10,8.265205
2022-10-11,8.268676
2022-10-12,8.271489
2022-10-13,8.27409
2022-10-14,8.275796
2022-10-15,8.277378
2022-10-16,8.278527
2022-10-17,8.279856
2022-10-18,8.280658
2022-10-19,8.281336
2022-10-20,8.282983
2022-10-21,8.28676
2022-10-22,8.289478
2022-10-23,8.290881
2022-10-24,8.2913265
2022-10-25,8.2921
2022-10-26,8.292117
2022-10-27,8.292801
2022-10-28,8.294378
2022-10-29,8.296221
2022-10-30,8.297396
2022-10-31,8.298061
2022-11-01,8.299786
2022-11-02,8.301852
2022-11-03,8.302243
2022-11-04,8.303326
2022-11-05,8.304015
2022-11-06,8.304085
2022-11-07,8.30424
2022-11-08,8.305842
2022-11-09,8.307522
2022-11-10,8.309125
2022-11-11,8.309947
2022-11-12,8.310586
2022-11-13,8.311327
2022-11-14,8.312937
2022-11-15,8.314778
2022-11-16,8.315419
2022-11-17,8.315023
2022-11-18,8.313864
2022-11-19,8.313195
2022-11-20,8.312441
2022-11-21,8.311515
2022-11-22,8.311693
2022-11-23,8.312248
2022-11-24,8.311451
2022-11-25,8.311441
2022-11-26,8.311289
2022-11-27,8.311903
2022-11-28,8.31348
2022-11-29,8.314236
2022-11-30,8.314486
2022-12-01,8.314946
2022-12-02,8.315128
2022-12-03,8.315816
2022-12-04,8.316701
2022-12-05,8.317545
2022-12-06,8.318749
2022-12-07,8.319303
2022-12-08,8.31828
2022-12-09,8.318258
2022-12-10,8.318564
2022-12-11,8.318436
2022-12-12,8.316889
2022-12-13,8.31734
2022-12-14,8.319141
2022-12-15,8.320213
2022-12-16,8.319972
2022-12-17,8.319572
2022-12-18,8.3199215
2022-12-19,8.320563
2022-12-20,8.320367
2022-12-21,8.321622
2022-12-22,8.322368
2022-12-23,8.321482
2022-12-24,8.321984
2022-12-25,8.323173
2022-12-26,8.323848
2022-12-27,8.323652
2022-12-28,8.324217
2022-12-29,8.324854
2022-12-30,8.324962
2022-12-31,8.323912
2023-01-01,8.322947
2023-01-02,8.320942
2023-01-03,8.321083
2023-01-04,8.321664
2023-01-05,8.323528
2023-01-06,8.322798
2023-01-07,8.32237
2023-01-08,8.324159
2023-01-09,8.325792
2023-01-10,8.326865
2023-01-11,8.3253355
2023-01-12,8.322899
2023-01-13,8.321129
2023-01-14,8.319995
2023-01-15,8.318552
2023-01-16,8.319493
2023-01-17,8.322155
